Szam,Kerdes,V1,V2,V3,Kep,HelyesValasz
11,Mi a mellévett alakzat?,"Olyan mereven összecsatolt kötelék, amelyben legalább egy gépnélküli hajó a kötelék haladását biztosító géphajó előtt helyezkedik el.","Egymáshoz oldalukkal csatolt hajókból álló merev kötelék, amelyek közül egyik sem helyezkedik el az alakzatot továbbító géphajó előtt.","Olyan kötelék, amelyben legalább két hajó összecsatolva halad.",,2
12,Folytassa a meghatározást! Vontatott kötelék az,"egy vagy több uszályból összeállított, géphajó (vontatóhajó) által továbbított merev kötelék, amely nem tartalmaz úszóművet vagy úszóműveket.","egy vagy több hajóból, úszóműből vagy úszó testek kötelékéből összeállított, egy vagy több géphajó (vontatóhajó) által vontatott kötelék.","olyan merev kötelék, amelynél a géphajó vagy géphajók mögött helyezkednek el a továbbított úszó létesítmények.",teszt-1422.jpg,2
13,Folytassa a meghatározást! Tolt kötelék az olyan,"merev kötelék, amelyben a kötelékben található hajók közül legalább egy a köteléket továbbító és tolóhajónak nevezett géphajó előtt helyezkedik el.","merev kötelék, amelyben a kötelékben található hajók közül legfeljebb egy a köteléket továbbító és tolóhajónak nevezett géphajó mellett helyezkedik el.","merev kötelék, amelyben a kötelékben található hajók mindegyike kizárólag a köteléket továbbító és tolóhajónak nevezett géphajó előtt helyezkedhet el.",,1
14,Folytassa a meghatározást! A motoros vízi sporteszköz olyan,"belsőégésű motoros, vízsugárhajtású 4 m hosszt el nem érő vízijármű, amelynek rendeltetésszerű működtetését a hajótesten - és nem annak belsejében - ülő, álló vagy térdelő személy vagy személyek végzik.","sport- és szabadidős célú belsőégésű motoros, vízsugárhajtású 4 m hosszt el nem érő vízijármű, amelynek rendeltetésszerű működtetését a hajótesten - és nem annak belsejében - ülő, álló vagy térdelő személy vagy személyek végzik.","nem sport- és szabadidős célú belsőégésű motoros, vízsugárhajtású 4 m hosszt el nem érő vízijármű, amelynek rendeltetésszerű működtetését a hajótesten - és nem annak belsejében - ülő, álló vagy térdelő személy vagy személyek végzik.",,2
15,Mit tekintünk vitorlás vízi sporteszköznek?,Legfeljebb 3 m2 névleges vitorlafelületű vízi sporteszköz.,Legalább 3 m2 névleges vitorlafelületű vízi sporteszköz.,Legalább 5 m2 névleges vitorlafelületű vízi sporteszköz.,xxx-1648.jpg,2
16,Milyen előírás vonatkozik a nyilvántartásra kötelezett kishajó vezetőjére az alábbiak közül?,A vezetőnek a kishajó vezetéséhez szükséges képesítéssel kell rendelkeznie.,A vezetőnek kell a hajón tartózkodók közül a legmagasabb képesítéssel rendelkeznie.,A hajó vezetőjének legalább gépnélküli hajóvezetői képesítéssel kell rendelkeznie.,,1
17,Hárul-e kötelezettség a kishajó vezetőjére az illetékes hatóság ellenőrzési tevékenységével kapcsolatban?,"Igen, biztosítani kell az ellenőrzés lehetőségét, ezen belül azt is, hogy a hatóság képviselői haladéktalanul a fedélzetre léphessenek.","Nem, az illetékes hatóság ellenőrzési tevékenységével kapcsolatban nincsenek kötelezettségei.","Igen, haladéktalanul értesítenie kell a kishajó tulajdonosát, vagy üzemeltetőjét az ellenőrzés tervezett időpontjáról jelenlétük biztosítása, nyilatkozattételi jogosultságuk érvényesítése céljából.",,1
18,Mit jelöl a hajón látható kettős sárga kúp? A kettős sárga kúp,12 főnél több utas szállítására engedéllyel rendelkező 20 méternél kisebb testhosszúságú hajót jelöl.,20 főnél több utas szállítására engedéllyel rendelkező 15 méternél nagyobb testhosszúságú hajót jelöl.,15 főnél több utas szállítására engedéllyel rendelkező 20 méternél nagyobb testhosszúságú hajót jelöl.,xxx-2461.jpg,1
19,"Mit jelöl a hajón látható csúcsával lefelé néző fekete kúp? A fekete kúp azt jelzi, hogy",a vitorlával haladó hajó egyidejűleg saját gépi hajtóberendezését is használ.,a 20 méternél kisebb testhosszúságú hajó 12 főnél több utas szállítására rendelkezik engedéllyel.,a vitorlával haladó hajó műveletképességében korlátozott.,xxx-2700.jpg,1
20,Mit jelölnek a hajón látható jelzőtestek (kettős sárga kúp és fekete kúp)? A jelzőtestek olyan,"20 méternél rövidebb hajót jelölnek, amelyen 12 főnél több utas szállítását engedélyezték és a vitorla mellett egyidejűleg saját gépi erőt is használ.","12 főnél több utas szállítására engedéllyel rendelkező hajót jelölnek, amely meghajtásához vitorla mellett saját gépi erőt is használ és a legnagyobb testhosszúsága már meghaladja 20 métert.","20 méternél kisebb testhosszúságú vitorlás hajót jelölnek, amely meghajtásához vitorla mellett saját gépi erőt is használ.",xxx-1625.jpg,1
21,Folytassa a meghatározást! Gépi erővel haladó kishajó a saját,"gépi berendezéssel rendelkező kishajó, amely önálló mozgásra alkalmas.",gépi berendezéssel is működtethető kishajó.,gépi berendezéssel hajtott kishajó.,,3
22,Mit értünk vitorlás kishajón? Vitorlás kishajó,a vitorlával/vitorlákkal felszerelt kishajó.,a vitorlát/vitorlákat is használó kishajó.,a csak vitorlával/vitorlákkal haladó kishajó.,,3
23,Mit értünk egy menetben lévő kishajó vonatkozásában a megáll kifejezés alatt?,A parthoz viszonyított megállást.,A vízhez viszonyított megállást.,Más hajóhoz viszonyított megállást.,,1
24,Mikor tekintjük a kishajót menetben lévőnek?,Ha az nincs közvetlenül vagy egyéb módon a parthoz kikötve.,Ha az más úszó létesítményekhez képest halad és nincs zátonyon fennakadva.,"Ha az nem áll közvetlenül vagy egyéb módon horgonyon vagy a parthoz kikötve, illetve nincs zátonyon fennakadva.",,3
25,"Folytassa a meghatározást! Menetben lévő az a kishajó, amely","nem áll közvetlenül vagy egyéb módon horgonyon vagy a parthoz kikötve, illetve nincs zátonyon fennakadva.",más úszó létesítményekhez képest halad és nincs zátonyon fennakadva.,nincs közvetlenül vagy egyéb módon a parthoz kikötve és nincs zátonyon fennakadva.,,1
26,Mi a kötelezettsége a kishajó vezetőjének a kishajón tartandó okmányokkal kapcsolatban?,Az illetékes hatóságok képviselőinak felszólítására be kell mutatni azokat.,"Azokat a Szabályzat előírása szerint rendszerezve, áttekinthetően és ellenőrzésre előkészítve kell a kishajón tartani.",Az eredeti okmányok másolatait kell csak a hajón tartani.,,1
27,Mit értünk biztonságos sebesség fogalma alatt?,"Olyan sebesség, amelynél a hajó vagy a kötelék biztonságosan közlekedhet, műveletezhet, továbbá az adott körülmények és viszonyok között szükséges távolságon belül megállhat.","Olyan sebesség, amelynél a hajó vagy a kötelék nem kelt olyan hullámokat, illetve nem okoz olyan szívóhatást, amely a víziközlekedésben résztvevők számára veszélyt jelent.","Olyan sebesség, amelynél a hajó vagy a kötelék nyugodtan közlekedhet, műveletezhet, továbbá az adott körülmények és viszonyok között szükséges távolságon belül megfelelő manőverekkel elkerülheti az összeütközést.",,1
28,Folytassa a meghatározást a Szabályzat alapján! Kimerült állapot,"a betegség miatt gyógyszer hatására fellépő, a magatartási normától való eltérésben megnyilvánuló állapot.",a kialvatlan állapot miatt fellépő vagy kialakuló és a reakcióidő növekedésében megnyilvánuló állapot.,"a nem kielégítő pihenés vagy betegség miatt fellépő, a magatartási normától való eltérésben és a reakcióidő növekedésében megnyilvánuló állapot.",,3
29,Mit értünk bódult állapot fogalmán a víziközlekedésben?,"Betegség miatt gyógyszer vagy más hasonlóan ható szer hatására fellépő, a magatartási normától való eltérésben megnyilvánuló állapot.","Alkohol, kábítószer, illetve gyógyszer vagy más hasonló anyag fogyasztásának következtében fellépő állapot.","Kialvatlanság és a nem kielégítő pihenés fellépő olyan kábult állapot, amely a magatartási normától való eltérésben nyilvánul meg.",,2
30,Az alábbiak közül milyen feltételt támaszt a Szabályzat a menetben lévő kishajó vezetőjével szemben?,Állandóan a kishajó vezetésére képes állapotban kell lennie.,Nem lehet kimerült vagy bódult állapotban.,"A kishajón való tartózkodása alatt nem fogyaszthat gyógyszert, alkoholt és más hasonlóan ható szert.",,2
31,A vezetőn kívül a kishajón tartózkodók közül ki tartozik felelősséggel a Szabályzat előírásainak megtartásáért?,"Csak a kishajó személyzetének tagja(i) függetlenül attól, hogy szolgálatban van(nak)-e vagy pihenőidejét/pihenőidejüket tölti(k).",Aki ideiglenesen maga határozza meg a kishajó útvonalát és sebességét.,A kishajó személyzetének tagjait és a kishajón tartózkodó más személyeket is közös felelősség terheli a Szabályzat előírásainak megtartásáért.,,2
32,"Folytassa a meghatározást? Kishajó vezetése olyan személynek engedhető át,","akinek a szervezetében nincs kábítószer, gyógyszer, vagy ezek kombinációja.",akinek a vezetésben már legalább egy éves gyakorlattal rendelkezik.,aki nincs kimerült vagy bódult állapotban és nem mutatja látható jeleit a fáradságának.,,3
33,Folytassa az előírást! A kishajó vezetője,"szakmai felkészültsége, gyakorlata alapján köteles minden a körülmények által megkövetelt intézkedést megtenni, ha a Szabályzatban foglaltaktól eltér.","a közvetlenül fenyegető veszély elhárítása érdekében köteles minden a körülmények által megkövetelt intézkedést megtenni még akkor is, ha emiatt az e Szabályzatban foglaltaktól el kell térnie.","köteles a Szabályzat rendelkezéseitől eltérni, ha megítélése szerint a körülmények azt indokolják.",,2
34,Eltérhet-e a kishajóvezető a Szabályzat előírásaitól?,"Igen, erre a Szabályzat a közvetlen veszély esetén feljogosítja, amelynek alapján minden a körülmények által megkövetelt intézkedésre kötelezi a kishajóvezetőt.","Igen, mivel a veszélyek elhárítása saját felelőssége, ezért köteles bármely veszély elhárítása érdekében a Szabályzat előírásait figyelmen kívül hagyni.","Nem, mivel a Szabályzat minden szokásos és rendkívüli helyzet megoldására tartalmaz előírásokat.",,1
35,Mikor térhet el kishajóvezető a Szabályzat rendelkezéseitől?,"Csak abban az esetben, ha ezzel idéz elő kárt más hajóban vagy műtárgyakban.",Csak akkor ha azt közvetlenül fenyegető veszély elhárítása érdekében teszi és a körülmények által megkövetelt mértéket nem lépi túl.,"Nem térhet el a Szabályzat előírásaitól, mert az szabálysértés vagy bűncselekmény lenne.",,2
36,"Milyen előírás vonatkozik a kishajó horgonyára, ha azt nem használják?","Ha a horgonyt nem használják, az nem lóghat a vízfelszín alá.","Ha horgonyt nem használják, azt teljesen fel kell húzni.",Használaton kívüli horgonyt a kishajó gerincvonala fölé kell emelni.,,2
37,"Milyen kötelezettség terheli a kishajó vezetőjét, ha olyan tárgyat veszített el, amely a hajózás számára akadályt vagy veszélyt jelenthet?","Haladéktalanul értesítenie kell a legközelebbi illetékes hatóságot, a lehető legpontosabban megjelölve a tárgy elvesztésének helyét, köteles továbbá lehetőség szerint ezt a helyet megjelölni.","Haladéktalanul értesítenie kell a legközelebbi vízirendészeti szervet, annak és a kiemelést végző búvárok helyszínre érkezéséig a hajó a helyszínről nem távozhat el.","Köteles az elvesztett tárgyat megkeresni és kiemelni. Amennyiben a kiemelés eredménytelen, a tárgyat nappali és éjszakai jelzésekkel meg kell jelölnie.",,1
38,"Milyen kötelezettség terheli a kishajó vezetőjét, ha víziutat elzáró ismeretlen akadályt észlel?","Haladéktalanul be kell jelentenie a legközelebbi illetékes hatóságnál, a lehető legpontosabban megjelölve az észlelt akadály helyét és amennyiben az veszélyezteti a hajózást, lehetőség szerint a helyet köteles megjelölni.","Gondoskodnia kell az észlelt akadály eltávolításáról, ha ezt nem tudja megtenni, gondoskodnia kell annak megjelöléséről.",A térségben közlekedő - rádióforgalmazásra kötelezett hajót - figyelmeztetnie kell az illetékes hatóság felé történő bejelentési kötelezettségére.,,1
39,"Terheli-e kötelezettség a kishajó vezetőjét, ha műtárgyat (pl. zsilip, híd) rongál meg?",Köteles tájékoztatni a térségben közlekedő hajókat az eseményről.,Köteles haladéktalanul értesíteni a legközelebbi illetékes hatóságot.,Köteles haladéktalanul értesíteni a műtárgy üzemeltetőjét és a károkozással kapcsolatban felelősségvállalásáról nyilatkozni.,,2
40,Milyen kötelezettség hárul a kishajó vezetőjére a hajón tartózkodó személyek biztonságát fenyegető balesetnél?,A vezető a lehető legrövidebb időn belül köteles értesíteni a legközelebbi illetékes hatóságot intézkedésüket kérve a veszélyeztetett személyek kimentése érdekében.,A vezető köteles minden mentőeszközt a veszélyeztetett személyek számára átadni.,A vezetőnek minden rendelkezésre álló eszközt fel kell használnia e személyek mentése érdekében.,,3
41,"Köteles-e segítséget nyújtani a kishajó vezetője, ha egy nem kishajó emberéletet veszélyeztető balesetet szenvedett?","A gazdasági célú tevékenységet végző kishajó vezetőjét igen, a kedvtelési célú hajó vezetőjét nem, mivel e kérdésben kevésbé jártas.","Nem, mert a kishajókra a nagyhajóktól eltérő szabályok vonatkoznak.","Igen, saját kishajójának biztonságával összeegyeztethető mértékben, hiszen ilyen esetben a Szabályzat nem tesz különbséget a hajók között.",,3
42,Milyen kötelezettség hárul az elsüllyedt kishajó vezetőjére?,A helyszín elhagyását követően haladéktalanul intézkednie kell a kishajó kiemeléséről és a hatóságoknak jelentenie kell a megtett intézkedéseket.,"A legrövidebb időn belül értesítenie kell a legközelebbi illetékes hatóságot és az elsüllyedt kishajó közelében kell maradnia, amíg a kiemelés el nem kezdődik.","A legrövidebb időn belül értesítenie kell a legközelebbi illetékes hatóságot a történtekről és a vezetőnek vagy a személyzet egy tagjának a hajón vagy a káreset közelében kell maradnia, amíg az illetékes hatóság a helyszín elhagyását nem engedélyezi.",,3
43,Milyen kötelezettség hárul a fennakadt kishajó vezetőjére?,A helyszín elhagyását követően haladéktalanul intézkednie kell a kishajó leszabadításáról és a hatóságoknak jelentenie kell a megtett intézkedéseket.,"A legrövidebb időn belül értesítenie kell a legközelebbi illetékes hatóságot és a fennakadt kishajó közelében kell maradnia, amíg a leszabadítás meg nem történik.","A legrövidebb időn belül értesítenie kell a legközelebbi illetékes hatóságot a történtekről és a vezetőnek vagy a személyzet egy tagjának a hajón vagy a káreset közelében kell maradnia, amíg az illetékes hatóság a helyszín elhagyását nem engedélyezi.",,3
44,Milyen kötelezettség hárul a hajóútban vagy annak közelében fennakadt kishajó vezetőjére az alábbiak közül?,Csak bejelentési kötelezettsége van az illetékes hatóságok felé.,"A legközelebbi illetékes hatóság felé bejelentési, az előírt jelzések kihelyezésére, valamint más hajók számára vonatkozó tájékoztatási kötelezettsége van.",Csak más hajók tájékoztatására vonatkozó kötelezettsége van.,,2
45,Milyen előírás vonatkozik a kishajó sebességének megválasztására?,"A kishajó csak olyan sebességgel haladhat, amelyet a víziútra vonatkozóan az illetékes hatóság meghatároz.",A kishajónak mindenkor biztonságos sebességgel kell haladnia.,A kishajónak mindig a manőverképességének fenntartásához szükséges maximális sebességgel kell haladnia.,,2
46,"Folytassa! A kötelező gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezetőjének a Szabályzat külön rendelkezése hiányában is","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy elkerülje a hajókban vagy az úszó testek kötelékeiben, partban és a hajóútban okozott kárt.","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy elhárítson minden a hajókban vagy az úszó testek kötelékeiben okozott kárt.","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy megóvja a kishajó személyzetének és minden más személynek testi épségét.",,1
47,"Folytassa! A kötelező gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezetőjének a Szabályzat külön rendelkezése hiányában is","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy megóvja a kishajó személyzetének és minden más személynek testi épségét.","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy elkerülje az emberéletet fenyegető veszélyt.","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy más kishajót hirtelen sebesség- vagy irányváltoztatásra ne kényszerítsen.",,2
48,"Folytassa! A kötelező gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezetőjének a Szabályzat külön rendelkezése hiányában is","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy épségben megőrizze a kishajóra rendszeresített okmányokat, Bizonyítványokat.","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy biztosítsa a Szabályzatban meghatározott valamennyi jelzés mindenkori észlelhetőségét.","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy elkerülje a hajózás akadályozását.",,3
49,"Folytassa! A kötelező gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezetőjének a Szabályzat külön rendelkezése hiányában is","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy megakadályozza a hullámkeltést és szívóhatást ezzel víziközlekedési balesetek kialakulását.","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy elkerülje a kishajón tartózkodó személyeknek okozott károkat.","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy elhárítsa a hajón tartózkodók fröccsenő víz általi szennyeződését.",,2
50,"Folytassa! A kötelező gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezetőjének a Szabályzat külön rendelkezése hiányában is","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy elkerülje a kikötői és partfali berendezésekben és a környezetben okozott károkat.","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy elhárítson minden a hajókban vagy az úszó testek kötelékeiben, partban és a hajóútban okozott kárt.","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy megakadályozza a navigációs berendezések és (ha van a rádiótelefon) rendeltetéstől eltérő használatát.",,1
51,"Folytassa! A kötelező gondosságból, bevált szakmai gyakorlatból fakadóan a kishajó vezetőjének a Szabályzat külön rendelkezése hiányában is","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy biztosítsa a Szabályzatban meghatározott valamennyi jelzés mindenkori észlelhetőségét.","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy más kishajót hirtelen sebesség- vagy irányváltoztatásra ne kényszerítsen.","meg kell tennie valamennyi elővigyázatossági intézkedést, hogy elkerülje a hajóút közvetlen közelében lévő bármilyen műtárgyban, illetve berendezésben okozott kárt.",,3
52,"Mi a kötelezettsége a kishajó vezetőjének is, ha a víziút jelei, jelzései hiányoznak?",Köteles a kötelező gondosság érdekében minden szükséges biztonsági intézkedés megtételére.,A hiányzó jel vagy jelzés előtt köteles várakozni!,"Az illetékes hatóság értesítését követően, kellő óvatossággal csak a legközelebbi biztonságos horgonyzó helyig hajózhat.",,1
53,Milyen előírás vonatkozik a kishajó felszerelésére és szerkezetére az alábbiak közül?,A kishajó szerkezetének meg kell felelnie a Szabályzatban foglalt követelményeknek és a Hajók Műszaki Felügyeleti Előírásainak.,"A kishajó szerkezetének és felszerelésének biztosítania kell a rajtuk tartózkodó személyek és a hajózás biztonságát, továbbá a Szabályzatban foglalt követelmények megtartását.","A kishajó szerkezetének biztosítania kell a rajtuk tartózkodó személyek kényelmét, felszerelésének meg kell felelnie a szabványokban előírt követelményeknek.",,2
54,Milyen biztonsági előírást tartalmaz a Szabályzat I. része a hajó felszerelésével kapcsolatban az alábbiak közül?,"A hajónak rendelkeznie kell a hajóbizonyítványban feltüntetett utasok számára alkalmas, valamint a felnőtt és gyermekkorúak közötti megoszlásnak megfelelő mennyiségű mentőeszközökkel.",A hajónak rendelkeznie kell a hajóbizonyítványban feltüntetett befogadóképességnek megfelelő mennyiségű mentőeszközzel.,A hajónak rendelkeznie kell a hajóbizonyítványban feltüntetett befogadóképességet 10 %-ban meghaladó mennyiségű a gyermekkorú utasoknak alkalmas mentőeszközzel.,,1
55,Folytassa! A kishajó vezetője köteles,végrehajtani az illetékes hatóságoknak a hajózás biztonsága vagy a hajózás rendje érdekében kiadott rendelkezéseit.,"betartani a Szabályzat tételes előírásait, valamint az illetékes hatóságok írásba foglalt átmeneti rendelkezéseit.","figyelembe venni az illetékes hatóságok víziút állapotára, annak hajózhatóságára, valamint az időjárási viszonyokra vonatkozó közérdekű (rádióban, televízióban közzétett) tájékoztatóit.",,1
56,Milyen kötelezettséget hárul a kishajó vezetőjére az illetékes hatóság rendelkezéseivel kapcsolatban?,"Köteles végrehajtani az illetékes hatóság(ok), de kizárólag csak az írásban közölt rendelkezéseit és utasításait.",Köteles végrehajtani az illetékes hatóság(ok) hajózás biztonsága vagy a hajózás rendje érdekében kiadott rendelkezéseit.,Köteles végrehajtani az illetékes hatóság(ok) bármilyen helyszínen kiadott utasításait.,,2
57,Folytassa! Az illetékes hatóságok jogosultak,hajó üzemeltetésével kapcsolatosan bármilyen rendelkezés kiadására.,"a hajó személyzetének tevékenységére, munkavégzésére vonatkozóan rendelkezni.",a hajózás biztonságát és megfelelő rendjét érintő rendelkezések kiadására.,,3
58,"Mit jelez a tábla, ha azt hajón helyezik el?",A hajón tilos a dohányzás!,A dohányzás vagy a nyílt láng használata tilos!,A dohányzás és nem védett világítótest vagy nyílt láng használata tilos!,teszt-1585.jpg,3
59,"Mit jelent a képen látható jelzés, ha azt egy hajón helyezték el?",Tilos a hajó mellé állni és tőle 25 méter távolságon belül vesztegelni!,A hajótól mért 25 méteres távolságon belül megengedett a horgonyzás.,A hajótól mért 25 méteres távolságon túl tilos a veszteglés!,teszt-1586.jpg,1
60,Haladhatnak-e a hajók párhuzamosan?,"Igen, kivéve a gyorsjáratú hajók egymás melletti, valamint kishajó és kishajónak nem tekinthető hajó egymás melletti párhuzamos haladását.",Egymás mellett párhozamosan tilos hajózni!,"Igen, ha az erre rendelkezésre álló szabad tér ezt lehetővé teszi, és amikor ez a hajózást nem akadályozza, illetve nem veszélyezteti.",,3
61,"Folytassa! Előzés, illetve találkozás kivételével tilos az egészségre ártalmas árut szállító hajótól/köteléktől",50 m távolságon belül haladni!,30 m távolságon belül haladni!,25 m távolságon belül haladni!,teszt-0794.jpg,1
62,"Folytassa! Előzés, illetve találkozás kivételével tilos a robbanásveszélyes árut szállító hajótól/köteléktől",50 m távolságon belül haladni!,30 m távolságon belül haladni!,25 m távolságon belül haladni!,xxx-1141.jpg,1
63,"Mielőtt vízisíelőt vontatna, mire hívja fel a figyelmét? Figyelmeztetem, hogy vízisíelőnek menetben lévő hajótól, úszó testek kötelékétől és munkát végző úszómunkagéptől",kellő távolságot kell tartania!,legalább 25 m távolságot kell tartania!,legalább 30 m távolságot kell tartania!,,1
64,A kötelező gondosságon túl milyen előírás vonatkozik a hajó sebességének megválasztására?,"A hajónak - a kishajó kivételével - úgy kell szabályozni sebességét, hogy ne keltsen olyan hullámot vagy szívóhatást, amely menetben lévő vagy veszteglő hajóban vagy a műtárgyban kárt okozhat!","A hajónak úgy kell szabályozni sebességét, hogy ne keltsen olyan hullámot vagy szívóhatást, amely menetben lévő vagy veszteglő hajóban vagy a műtárgyban kárt okozhat!","A hajónak mindig olyan sebességgel kell haladnia, amely biztosítja műveletképességét még akkor is, ha azzal hullámot vagy szívóhatást kelt.",,2
65,Hogyan kell elhajózni hullámzás elleni védelem jelzéseit viselő hajó mellett? Az elhaladás során a hajók kötelesek,kellő távolságot kell tartani tőle.,a lehető legnagyobb oldaltávolságot tartani tőle!,legalább 50 m távolságot kell tartani tőle.,xxx-3679.jpg,2
66,Hogyan kell elhajózni hullámzás elleni védelem jelzéseit viselő hajó mellett? Az elhaladás során a hajók kötelesek,kellő távolságot kell tartani tőle.,a lehető legnagyobb oldaltávolságot tartani tőle!,legalább 50 m távolságot kell tartani tőle.,xxx-3725.jpg,2
67,Hogyan kell elhajózni hullámzás elleni védelem jelzéseit viselő munkát végző úszómunkagép mellett? Az elhaladás során a hajók kötelesek,kellő távolságot kell tartani tőle.,a lehető legnagyobb oldaltávolságot tartani tőle!,legalább 50 m távolságot kell tartani tőle.,xxx-0162.jpg,2
68,Hogyan kell elhajózni hullámzás elleni védelem jelzéseit viselő munkát végző úszómunkagép mellett? Az elhaladás során a hajók kötelesek,kellő távolságot kell tartani tőle.,a lehető legnagyobb oldaltávolságot tartani tőle!,legalább 50 m távolságot kell tartani tőle.,xxx-0054.jpg,2
69,Milyen követelményt támaszt a Szabályzat a kizárólag kishajókból álló köteléket továbbító kisgéphajóval szemben?,A vízfelszínhez képest legalább 15 km/óra sebességet kell elérnie.,Gépi meghajtó berendezésének motorteljesítménye 50 kW-nál nem lehet kisebb.,Elegendő gépteljesítménnyel kell rendelkeznie a kötelék megfelelő műveletképességének biztosításához.,xxx-0059.jpg,3
70,Milyen előírás vonatkozik az aknamentesítéssel foglalkozó hajó megközelítésére? Az aknamentesítéssel foglalkozó hajó farát,500 m-nél kisebb távolságra tilos megközelíteni!,1000 m-nél kisebb távolságra tilos megközelíteni!,150 m-nél kisebb távolságra tilos megközelíteni.,teszt-1672.jpg,2
71,Milyen előírás vonatkozik az aknamentesítéssel foglalkozó hajó megközelítésére? Az aknamentesítéssel foglalkozó hajó farát,500 m-nél kisebb távolságra tilos megközelíteni!,1000 m-nél kisebb távolságra tilos megközelíteni!,150 m-nél kisebb távolságra tilos megközelíteni.,teszt-1683.jpg,2
